A,W,MT,ID
512,12,1203,5
512,12,1588,5
512,12,1404,5
512,12,945,5
512,12,1189,5
512,12,1029,5
512,12,1406,5
512,12,2065,5
512,12,1250,5
256,12,1355,4
256,12,1410,4
256,12,1105,4
256,12,1670,4
256,12,1503,4
256,12,979,4
256,12,1177,4
256,12,1276,4
256,12,1511,4
128,12,905,4
128,12,1252,4
128,12,1154,4
128,12,1097,4
128,12,1274,4
128,12,983,4
128,12,1141,4
128,12,930,4
128,12,1239,4
512,12,1365,5
512,12,1248,5
512,12,1253,5
512,12,1357,5
512,12,1300,5
512,12,1139,5
512,12,1205,5
512,12,1146,5
512,12,1232,5
256,12,998,4
256,12,1161,4
256,12,1232,4
256,12,1040,4
256,12,992,4
256,12,1063,4
256,12,1181,4
256,12,1245,4
256,12,1330,4
128,12,872,4
128,12,1099,4
128,12,855,4
128,12,1361,4
128,12,1094,4
128,12,1116,4
128,12,1126,4
128,12,825,4
128,12,1042,4
512,12,1329,5
512,12,1178,5
512,12,1703,5
512,12,1329,5
512,12,1126,5
512,12,1374,5
512,12,1191,5
512,12,1323,5
512,12,1118,5
128,12,864,4
128,12,1091,4
128,12,1085,4
128,12,873,4
128,12,1064,4
128,12,879,4
128,12,1170,4
128,12,1183,4
128,12,1257,4
256,12,1020,4
256,12,925,4
256,12,1238,4
256,12,1188,4
256,12,1299,4
256,12,1149,4
256,12,1203,4
256,12,1191,4
256,12,1168,4
